barcode_01	209	194	501	739
barcode_02	49	210	780	553
barcode_03	0	181	595	722
barcode_04	121	0	722	594
barcode_05	183	117	287	613
barcode_06	824	646	547	701
barcode_07	294	184	613	287
barcode_08	0	640	495	833
barcode_09	820	2369	1157	1286
barcode_10	321	1135	614	152
barcode_11	188	153	367	698
barcode_12	174	188	711	370
barcode_13	689	1787	698	290
barcode_14	110	148	813	405
barcode_15	1163	1472	803	722
barcode_16	197	143	588	366
barcode_17	1037	1064	491	1042
barcode_18	198	66	340	889
barcode_19	64	197	895	341
barcode_20	324	1156	1141	933
barcode_21	57	98	611	718
barcode_22	207	58	719	610
barcode_23	115	227	718	350
barcode_24	409	1354	522	163
barcode_25	202	336	1115	440
barcode_26	232	232	737	405
barcode_27	396	104	546	1203
barcode_28	42	98	750	554
barcode_29	352	994	901	1056
barcode_30	64	274	1046	1422
barcode_31	316	233	333	665
barcode_32	146	317	645	333
barcode_33	461	404	1421	1046
barcode_34	432	296	923	424
barcode_35	823	767	990	477
barcode_36	731	465	1083	497
barcode_37	51	0	719	536
barcode_38	1008	1563	573	968
barcode_39	0	0	630	1024
barcode_40	0	0	1024	630
barcode_41	1687	744	89	504
barcode_42	532	631	1099	506
barcode_43	1151	839	1182	690
barcode_44	1794	699	472	611
barcode_45	626	332	1034	787
barcode_46	649	515	1174	565
barcode_47	1596	485	324	543
barcode_48	623	746	1038	651
barcode_49	1504	1336	933	753
barcode_50	1012	1216	504	594
barcode_51	1735	1350	1107	622
barcode_52	458	93	1573	480
barcode_53	699	963	563	896
barcode_54	1161	2827	576	229
barcode_55	708	656	1732	755
barcode_56	824	982	514	556
barcode_57	894	722	1072	909
barcode_58	320	523	1457	578
barcode_59	1341	755	551	634
barcode_60	1107	550	653	897
barcode_61	517	520	929	645
barcode_62	651	318	1068	1723
barcode_63	1219	572	392	728
barcode_64	575	1861	703	444
barcode_65	252	312	417	845
barcode_66	24	336	751	339
barcode_67	6	806	119	367
barcode_68	20	629	783	367
barcode_69	0	757	765	592
barcode_70	723	426	393	301
barcode_71	22	688	966	583
barcode_72	708	688	583	967
barcode_73	719	547	1085	634
