barcode_01	232	310	676	863
barcode_02	161	234	721	681
barcode_03	317	398	493	789
barcode_04	235	317	620	490
barcode_05	210	140	434	675
barcode_06	841	638	1990	1315
barcode_07	343	210	886	429
barcode_08	916	1049	1349	2105
barcode_09	844	2390	1953	3635
barcode_10	236	431	938	1882
barcode_11	208	143	533	875
barcode_12	148	210	882	528
barcode_13	716	1212	1361	2130
barcode_14	194	222	811	507
barcode_15	802	1496	1946	2177
barcode_16	248	168	765	593
barcode_17	1053	800	1508	2083
barcode_18	219	95	509	932
barcode_19	94	223	932	507
barcode_20	303	815	1443	2072
barcode_21	86	121	643	746
barcode_22	277	87	903	642
barcode_23	140	251	815	554
barcode_24	425	432	952	1563
barcode_25	178	356	1280	754
barcode_26	326	275	888	537
barcode_27	400	200	940	1276
barcode_28	164	164	672	572
barcode_29	376	1014	1220	2024
barcode_30	417	489	1092	1628
barcode_31	343	250	607	821
barcode_32	205	343	773	608
barcode_33	528	757	1666	1399
barcode_34	386	318	1336	693
barcode_35	781	789	1795	1217
barcode_36	677	485	1792	938
barcode_37	800	608	2004	1282
barcode_38	991	724	1577	3351
barcode_39	412	47	628	953
barcode_40	72	412	977	626
barcode_41	601	756	1814	1308
barcode_42	493	0	1638	553
barcode_43	1170	863	2311	1504
barcode_44	787	720	2293	1460
barcode_45	667	380	1622	1074
barcode_46	596	536	1876	1055
barcode_47	684	501	1927	1023
barcode_48	542	769	1738	1375
barcode_49	1100	1347	2527	2070
barcode_50	1021	1236	2429	1811
barcode_51	1660	1371	2825	1951
barcode_52	497	0	2009	552
barcode_53	722	755	1238	1842
barcode_54	1135	2082	1719	3267
barcode_55	926	741	2271	1345
barcode_56	467	990	1665	1640
barcode_57	845	747	1946	1604
barcode_58	426	529	1722	1093
barcode_59	837	734	2232	1369
barcode_60	826	560	2471	1483
barcode_61	434	514	1747	1141
barcode_62	749	444	1614	1928
barcode_63	1040	583	2239	1289
barcode_64	591	1160	1265	2666
barcode_65	279	266	649	1139
barcode_66	42	359	758	655
barcode_67	0	633	1319	2364
barcode_68	55	563	698	1038
barcode_69	0	778	737	1297
barcode_70	741	446	1128	700
barcode_71	58	741	954	1233
barcode_72	755	723	1253	1617
barcode_73	623	565	1816	1145
